iter	RMSE
0	12472.08164
1	11779.18524
2	11133.19405
3	10570.48688
4	10101.49759
5	9669.450073
6	9307.39467
7	8979.264369
8	8714.77889
9	8487.307412
10	8269.477312
11	8068.233595
12	7924.498527
13	7791.930009
14	7656.265308
15	7549.630011
16	7438.741937
17	7339.231407
18	7266.17448
19	7208.78634
20	7153.167119
21	7098.526121
22	7056.610348
23	7002.685836
24	6949.662652
25	6911.461144
26	6878.628025
27	6843.303325
28	6805.464484
29	6772.968749
30	6743.132217
31	6720.517279
32	6701.583213
33	6678.465346
34	6655.382404
35	6632.678103
36	6611.061634
37	6596.109919
38	6568.964541
39	6545.417977
40	6527.287911
41	6509.761676
42	6489.98429
43	6474.112403
44	6464.298551
45	6449.15228
46	6436.050438
47	6424.202942
48	6406.770811
49	6398.051902
50	6379.17334
51	6373.833271
52	6359.163956
53	6351.898549
54	6342.863492
55	6326.288918
56	6320.434208
57	6316.384968
58	6303.522396
59	6287.904299
60	6274.421145
61	6264.935053
62	6252.710818
63	6243.178984
64	6237.152424
65	6228.964268
66	6209.017016
67	6203.379629
68	6193.037304
69	6187.874952
70	6183.912927
71	6165.636095
72	6161.47361
73	6155.494641
74	6148.352833
75	6143.950358
76	6134.866216
77	6128.219443
78	6122.3657
79	6116.322424
80	6102.964665
81	6096.383903
82	6081.563569
83	6074.043131
84	6065.097717
85	6050.622046
86	6043.237896
87	6030.210922
88	6020.428271
89	6011.640537
90	6001.3384
91	5990.194962
92	5983.013221
93	5975.75275
94	5969.664894
95	5962.23473
96	5956.136184
97	5953.148202
98	5951.228079
99	5944.207469
