iter	Passed	Remaining
0	146	14506
1	157	7704
2	168	5461
3	179	4312
4	190	3612
5	200	3136
6	210	2790
7	219	2524
8	228	2315
9	237	2137
10	249	2015
11	258	1893
12	267	1793
13	278	1712
14	282	1603
15	286	1506
16	292	1425
17	296	1348
18	300	1279
19	303	1215
20	308	1159
21	311	1105
22	315	1057
23	319	1011
24	323	971
25	327	931
26	331	895
27	334	860
28	339	830
29	342	800
30	346	771
31	350	744
32	354	719
33	358	695
34	361	672
35	365	650
36	369	629
37	373	609
38	377	590
39	380	571
40	386	555
41	389	538
42	393	521
43	397	505
44	400	489
45	404	474
46	408	460
47	411	446
48	415	432
49	418	418
50	422	406
51	426	393
52	430	381
53	433	369
54	438	358
55	441	347
56	445	336
57	449	325
58	452	314
59	456	304
60	459	294
61	463	284
62	467	274
63	471	265
64	474	255
65	478	246
66	481	237
67	485	228
68	489	219
69	492	211
70	496	202
71	500	194
72	504	186
73	508	178
74	511	170
75	515	162
76	519	155
77	523	147
78	527	140
79	530	132
80	534	125
81	537	118
82	541	110
83	544	103
84	548	96
85	553	90
86	558	83
87	563	76
88	567	70
89	572	63
90	577	57
91	581	50
92	586	44
93	591	37
94	596	31
95	600	25
96	604	18
97	609	12
98	614	6
99	619	0
